date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:01:59	56127/56127	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202020%2013:01:55%20GMT	https://productoshnd.gr8.com/	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/productoshnd.gr8.com/index.html	(from )
09:02:00	10434/10434	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Feb%202020%2013:01:55%20GMT	https://productoshnd.gr8.com/robots.txt		(from )
09:02:01	2560/2560	---M--	200	added ('OK')	image/png	etag:%221dc09d84-a00%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-57x57.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-57x57.png	(from https://productoshnd.gr8.com/)
09:02:01	2375/2375	---M--	200	added ('OK')	image/png	etag:%221dc09d84-947%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-60x60.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-60x60.png	(from https://productoshnd.gr8.com/)
09:02:01	2998/2998	---M--	200	added ('OK')	image/png	etag:%221dc09d84-bb6%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-72x72.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-72x72.png	(from https://productoshnd.gr8.com/)
09:02:02	3297/3297	---M--	200	added ('OK')	image/png	etag:%221dc09d84-ce1%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-76x76.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-76x76.png	(from https://productoshnd.gr8.com/)
09:02:02	4322/4322	---M--	200	added ('OK')	image/png	etag:%221dc09d84-10e2%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-114x114.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-114x114.png	(from https://productoshnd.gr8.com/)
09:02:02	4552/4552	---M--	200	added ('OK')	image/png	etag:%221dc09d84-11c8%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-120x120.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-120x120.png	(from https://productoshnd.gr8.com/)
09:02:02	5777/5777	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1691%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-144x144.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-144x144.png	(from https://productoshnd.gr8.com/)
09:02:03	5907/5907	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1713%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-152x152.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-152x152.png	(from https://productoshnd.gr8.com/)
09:02:03	6961/6961	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1b31%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-180x180.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-180x180.png	(from https://productoshnd.gr8.com/)
09:02:04	1141/1141	---M--	200	added ('OK')	image/png	etag:%221dc09d84-475%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-32x32.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-32x32.png	(from https://productoshnd.gr8.com/)
09:02:04	6450/6450	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1932%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-194x194.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-194x194.png	(from https://productoshnd.gr8.com/)
09:02:05	3185/3185	---M--	200	added ('OK')	image/png	etag:%221dc09d84-c71%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-96x96.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-96x96.png	(from https://productoshnd.gr8.com/)
09:02:05	7945/7945	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1f09%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/android-chrome-192x192.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/android-chrome-192x192.png	(from https://productoshnd.gr8.com/)
09:02:05	617/617	---M--	200	added ('OK')	image/png	etag:%221dc09d84-269%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-16x16.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-16x16.png	(from https://productoshnd.gr8.com/)
09:02:06	4577/4577	---M--	200	added ('OK')	image/png	etag:%221dc09d84-11e1%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/mstile-144x144.png	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/mstile-144x144.png	(from https://productoshnd.gr8.com/)
09:02:06	925/925	---M-Z	200	added ('OK')	text/css	etag:W/%221dc09d84-39d%22	https://us-as.gr-cdn.com/javascripts/core/lps/dist/reset-styles.401d13001a241aae6473.css	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/javascripts/core/lps/dist/reset-styles.401d13001a241aae6473.css	(from https://productoshnd.gr8.com/)
09:02:07	27536/27536	---M-Z	200	added ('OK')	text/css	etag:W/%221dc09d84-6b90%22	https://us-as.gr-cdn.com/javascripts/core/lps/dist/core-styles.d30c88956b6454d897b1.css	C:/Users/alan/Desktop/Nueva%20carpeta%20(2)/temporal/us-as.gr-cdn.com/javascripts/core/lps/dist/core-styles.d30c88956b6454d897b1.css	(from https://productoshnd.gr8.com/)
